source_id,ra_gaia,dec_gaia,pmra,pmdec,parallax,pmra_error,pmdec_error,parallax_error,radial_velocity,phot_g_mean_mag,bp_rp,pm_offset,gaiadr3_source_id,C_O,mg_fe,si_fe,fe_h,rv_comp_1,ba_fe,ra_galah,dec_galah,teff,logg
6237882858581105664,232.87138025741154,-25.67732441192511,-0.31996968844026913,-3.2308563857569994,0.30360983121512747,0.05821471,0.045480143,0.046310563,51.059875,10.886582,2.589817,0.9561035140431191,6237882858581105664,0.48768914,0.10476764,0.07657994,0.24626964,49.73253,-0.0125179775,232.87136840820312,-25.677305221557617,3627.3452,0.7678441
4047762344383477632,278.0108953377734,-30.365488135207624,-1.075242449550176,-4.148930812880045,0.32649301166850686,0.020123057,0.016705684,0.017742004,-5.805672,13.450881,1.4639807,1.9804658671698894,4047762344383477632,0.5635535,0.09187565,0.12739931,0.12494257,-5.4295726,-0.04688296,278.0108642578125,-30.3654727935791,4627.971,2.5081213
5720819133161696384,122.58023103861034,-17.19230128675939,-0.23332956259497287,0.4473715961948897,0.2819878379075984,0.014221148,0.011908656,0.015737198,63.75888,13.561085,1.4109421,2.7337523069824092,5720819133161696384,0.45935827,0.13179189,0.1041853,0.3080455,61.528797,-0.1201047,122.58025360107422,-17.192304611206055,4579.131,2.5242126
4220100071796012288,301.5487338570221,-5.904871491289112,2.438699070703241,-2.7300527663810197,0.30879656816002654,0.014560507,0.011017768,0.013969557,-49.879208,13.186418,1.6310215,2.8939087527713765,4220100071796012288,0.44995165,0.0988111,0.08157861,0.10906908,-48.767696,0.09865386,301.5487365722656,-5.904860973358154,4297.3486,2.1750984
4253706713425796608,284.34798727779423,-6.524062878549198,0.7090795289402331,-3.400616355229607,0.28834844917433855,0.017762236,0.015775993,0.020636208,34.39399,12.733823,1.7250738,1.5907864716171018,4253706713425796608,0.5565926,0.091981195,0.08683367,0.11254895,37.190422,-0.03109932,284.3479919433594,-6.524055480957031,4356.2393,1.9392253
3254686462692005888,66.7986485676715,0.32236999043742365,2.4274412880223997,-1.7196758307146272,0.28275533532479596,0.016853712,0.012976005,0.017038027,76.93807,13.229508,1.6014347,2.902048425409198,3254686462692005888,0.58350354,0.11092267,0.10142937,0.16190004,77.143036,0.09839972,66.79862213134766,0.3223888874053955,4316.933,2.176737
4471727572727082240,273.13766453315793,5.807924229571023,1.1811373258444884,-2.917622599079624,0.23223981132895957,0.021134602,0.019733721,0.02139902,-15.546116,11.130968,2.4605217,1.7234277806364542,4471727572727082240,0.4667448,0.13253891,0.098350644,0.22411442,-14.203613,-0.21214795,273.1376647949219,5.807944297790527,3734.8987,0.8599429
4073170241360403200,281.79743024713883,-25.877249044320237,-0.45534293296661843,-4.3137097734087755,0.1657108537693644,0.02420745,0.020038761,0.021769002,-11.89251,14.114651,1.6204128,2.0340168547406527,4073170241360403200,0.5329776,0.12489671,0.079377726,0.13023612,-13.798133,0.15796441,281.79742431640625,-25.877222061157227,4656.6553,2.433511
5915205917021096704,254.62822234739468,-59.41603552182853,-2.0811944936286517,-3.9514912060372005,0.2840936762138956,0.013047688,0.012629745,0.016436663,70.97834,13.680325,1.5585146,2.356575905317257,5915205917021096704,0.57564133,0.09350216,0.08196914,0.25337446,70.428314,-0.0482326,254.6282501220703,-59.4160270690918,4408.8813,2.3736856
6721901376213883904,278.3860504946826,-42.76096487298105,-0.40825619339809593,-1.9773976785030825,0.22040071536590053,0.021913402,0.01789984,0.021238687,-117.57641,10.751775,2.6790571,0.3028301206432852,6721901376213883904,0.60662675,0.18162185,0.062011834,0.1840496,-115.75063,-0.15451413,278.38604736328125,-42.76097106933594,3589.8882,0.6654443
6655595533652992256,278.30436938405194,-50.859574531522455,-1.1035561072938356,-3.1647326792686847,0.2732797915842882,0.013802239,0.012894937,0.014258418,4.6513605,13.468646,1.3588848,1.1180343758510503,6655595533652992256,0.5265225,0.16563082,0.04751243,0.13789052,5.701343,-0.21673799,278.3044128417969,-50.859554290771484,4681.6006,2.5085971
5888866119581726720,230.98137388690057,-52.43818048120197,-2.6079259140264592,-2.7420892244106927,0.248561536934284,0.015545094,0.015813798,0.017222166,-66.197205,13.6757,2.1206446,2.2361901208495207,5888866119581726720,0.508456,0.12524122,0.083961084,0.23510662,-66.18452,0.047522068,230.9813690185547,-52.438167572021484,4774.028,2.3542926
4075002680571578240,281.35484684525153,-24.69379799059629,-1.0406267997637928,-3.4935054181640726,0.21826182260300472,0.024405135,0.020049993,0.024952041,-25.18544,13.597925,1.5552492,1.3630014763376481,4075002680571578240,0.4625882,0.14797634,0.11799149,0.1143855,-23.49183,0.15052918,281.3548278808594,-24.693777084350586,4783.613,2.5041301
4294455134076217728,293.2192401976333,6.3134979828620414,-2.6985237986529773,-4.112462859453776,0.2988654713522492,0.01488836,0.010372256,0.014573033,20.478245,12.697214,1.7679825,2.923968336406108,4294455134076217728,0.49672145,0.12819466,0.10010782,0.15008098,21.089314,-0.15701526,293.21923828125,6.313499927520752,4378.939,1.9763666
4073165705875469312,281.9285660444832,-25.96100732450879,0.2227595137721623,-0.6836897218740637,0.19805918862702163,0.020670874,0.017258618,0.01790879,30.358328,13.04658,1.9586172,1.7208562684300888,4073165705875469312,0.48234308,0.101650245,0.060962077,0.17554882,36.736637,0.17405653,281.92852783203125,-25.961000442504883,4247.9478,1.7954253
5822083668745864064,240.06120758305056,-67.25558898777952,-2.902955958273132,-0.6788898238110553,0.3320132304067738,0.007706444,0.010957783,0.012984759,-24.542418,12.778163,1.4413719,2.9544244933691974,5822083668745864064,0.4977513,0.0907243,0.122693375,0.23966801,-19.381983,-0.03815198,240.06124877929688,-67.25558471679688,4523.964,2.3606694
5930429583268799488,248.50580393168104,-54.48071974518781,-0.388355007857506,-3.661482367327961,0.191590781975911,0.023327522,0.018995412,0.02269412,5.0174923,11.699359,2.7121315,1.3818447585621787,5930429583268799488,0.58694553,0.10794415,0.032447405,0.29647207,4.8839593,-0.095642164,248.50579833984375,-54.48072052001953,3733.0388,0.8154656
5815238113660186368,254.90805691962152,-65.65737169591304,-2.39165707620017,-3.971708230988734,0.28994034578410044,0.0081305755,0.009856951,0.013140561,-29.931173,13.214125,1.3709297,2.597943102711304,5815238113660186368,0.5150362,0.12024792,0.08797939,0.12926954,-27.360811,0.27167293,254.9080810546875,-65.65736389160156,4761.286,2.5128734
